data_snr_db,method,ber,ci_low,ci_high,frames,bits,errors,target_bit_errors,max_bits,min_frames,modulation,pdr_db,solver,effective_channel_method
10.0,conventional,0.06129032258064516,0.05825922837105912,0.06446832202081963,20,22940,1406,200,2000000,20,bpsk,5.0,dense,fast
10.0,teacher,0.010592850915431561,0.009347585952254895,0.01200199753836742,20,22940,243,200,2000000,20,bpsk,5.0,dense,fast
10.0,student,0.011421098517872711,0.010125558217101293,0.012880243133472762,20,22940,262,200,2000000,20,bpsk,5.0,dense,fast
10.0,perfect,0.01002615518744551,0.008816461062112067,0.01139992073485906,20,22940,230,200,2000000,20,bpsk,5.0,dense,fast
15.0,conventional,0.05623693060025827,0.05509199887435186,0.05740421097850429,133,152551,8579,200,2000000,20,bpsk,5.0,dense,fast
15.0,teacher,0.0019272243380902125,0.00171932826129986,0.0021602041951017323,133,152551,294,200,2000000,20,bpsk,5.0,dense,fast
15.0,student,0.0020058865559714457,0.001793557975862992,0.002243294954739862,133,152551,306,200,2000000,20,bpsk,5.0,dense,fast
15.0,perfect,0.0014028095522153248,0.0012271307546615588,0.0016035985403982872,133,152551,214,200,2000000,20,bpsk,5.0,dense,fast
18.0,conventional,0.06066581076789325,0.06014977724231843,0.06118598320472739,711,815517,49474,200,2000000,20,bpsk,5.0,dense,fast
18.0,teacher,0.0004389853307778992,0.00039581440023975467,0.00048686256180210653,711,815517,358,200,2000000,20,bpsk,5.0,dense,fast
18.0,student,0.000490486403103798,0.0004447268610426034,0.0005409517604660337,711,815517,400,200,2000000,20,bpsk,5.0,dense,fast
18.0,perfect,0.0002464694175596585,0.0002146733079647632,0.0002829736413084356,711,815517,201,200,2000000,20,bpsk,5.0,dense,fast
